x,y,FRE_PROVINCE_NAME,HEATING_DEGREE_DAYS,STATION_NAME,NORMAL_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,NORMAL_PRECIPITATION,ID,DAYS_WITH_VALID_MEAN_TEMP,DAYS_WITH_VALID_SUNSHINE,LOCAL_DATE,MIN_TEMPERATURE,NORMAL_SNOWFALL,ENG_PROVINCE_NAME,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_PRECIP,LOCAL_MONTH,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,NORMAL_MEAN_TEMPERATURE,PROVINCE_CODE,LOCAL_YEAR,TOTAL_SNOWFALL,BRIGHT_SUNSHINE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,LONGITUDE
-101.05,50.43333333333333,MANITOBA,215.5,BIRTLE,,,,3469.1995.10,18,,1995-10,-5,,MANITOBA,50.433,2014-07-31 11:50:58,30,28,10,6.027777777777778,23,0,,MB,1995,4,,19,4,5010240,21,19,-101.050
-101.05,50.43333333333333,MANITOBA,1214.4,BIRTLE,,,,3469.1996.1,29,,1996-01,-43,,MANITOBA,50.433,2014-07-31 11:50:58,29,29,1,-23.875862068965517,15,0,,MB,1996,15,,29,4,5010240,29,5,-101.050
-101.05,50.43333333333333,MANITOBA,922.6,BIRTLE,,,,3469.1996.2,28,,1996-02,-44.5,,MANITOBA,50.433,2014-07-31 11:50:58,29,29,2,-14.95,14.5,0,,MB,1996,14.5,,29,2,5010240,28,4.5,-101.050
-101.05,50.43333333333333,MANITOBA,875.6,BIRTLE,,15,,3469.1996.11,30,,1996-11,-29.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,11,-11.186666666666667,26.2,0,,MB,1996,26.2,,30,5,5010240,30,9,-101.050
-101.05,50.43333333333333,MANITOBA,1043.6,BIRTLE,,32,,3469.1996.12,29,,1996-12,-38.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,12,-17.986206896551725,31,0,,MB,1996,31,,30,13,5010240,30,-3.5,-101.050
-101.05,50.43333333333333,MANITOBA,1193.3,BIRTLE,,41,,3469.1997.1,31,,1997-01,-41,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,1,-20.493548387096773,26.9,0,,MB,1997,26.9,,31,9,5010240,31,2,-101.050
-101.05,50.43333333333333,MANITOBA,815.7,BIRTLE,,40,,3469.1997.2,28,,1997-02,-31.5,,MANITOBA,50.433,2014-07-31 11:50:58,28,28,2,-11.132142857142858,10,0,,MB,1997,8.5,,28,6,5010240,28,4.5,-101.050
-101.05,50.43333333333333,MANITOBA,817.5,BIRTLE,,16,,3469.1997.3,31,,1997-03,-29.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,3,-8.370967741935484,26.4,0,,MB,1997,22.6,,31,9,5010240,31,8.5,-101.050
-101.05,50.43333333333333,MANITOBA,506.1,BIRTLE,,0,,3469.1997.4,30,,1997-04,-18,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,4,1.13,14.8,0,,MB,1997,6,,30,2,5010240,30,20.5,-101.050
-101.05,50.43333333333333,MANITOBA,264.7,BIRTLE,,0,,3469.1997.5,31,,1997-05,-5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,5,9.519354838709678,29.6,1.8,,MB,1997,6.4,,31,4,5010240,31,28.5,-101.050
